id,lat,lon,gps_acc_m,crossval_m,confirmed,role,type,gap_to_prev_m,paces,width_m
1,15.367282920281346,75.1268812368054,2.1,199.1,False,landmark,hump,,2.0,1.5
2,15.36859560009116,75.12563106648743,3.4,3.4,True,checkpoint,bump,198.4,1.0,0.75
3,15.36888694943096,75.12526535128022,3.2,4.5,True,landmark,bump,50.9,1.0,0.75
4,15.3696318875,75.1249230125,3.0,2.4,True,checkpoint,bump,90.7,1.0,0.75
5,15.370187763636364,75.12478484545453,3.0,1.7,True,landmark,hump,63.6,2.0,1.5
6,15.370632540188966,75.12461461779378,3.7,4.5,True,checkpoint,hump,52.8,2.0,1.5
7,15.37108673306524,75.12431076946295,3.4,3.1,True,landmark,hump,60.2,2.0,1.5
8,15.371208915259464,75.12410767086112,3.5,7.4,True,checkpoint,hump,25.7,3.0,2.25
9,15.371267311943086,75.12378524975904,3.4,12.7,True,landmark,hump,35.2,2.0,1.5
10,15.37128427029406,75.12364925095595,3.0,2.3,True,checkpoint,hump,14.7,3.0,2.25
11,15.371140990393805,75.12295707232667,3.6,1.9,True,landmark,bump,76.0,1.0,0.75
12,15.371113580658594,75.12291587062097,3.0,4.4,True,checkpoint,hump,5.4,2.0,1.5
13,15.371068758904752,75.12248664272242,3.4,21.6,False,landmark,hump,46.3,3.0,2.25
14,15.370925821476767,75.12196639225493,3.3,14.1,True,checkpoint,hump,58.1,2.0,1.5
100,15.371194820920396,75.12324038433418,,,True,landmark,discovered,,,
101,15.368094932062451,75.12634318999059,,,True,landmark,discovered,,,
102,15.367925561232598,75.12659033082613,,,True,landmark,discovered,,,
