wall_ms,elapsed_s,blackout,ai_active,inferences,infer_ms_last,infer_ms_mean,infer_ms_max,battery_pct,current_ua,voltage_mv,temp_c,java_heap_mb,native_heap_mb,pss_mb
1789916473501,0.1,0,0,0,0.00,0.00,0.00,50,-877,4033,34.5,9.5,27.8,135.9
1789916478534,5.1,0,0,0,0.00,0.00,0.00,50,-1060,4032,34.6,7.0,48.7,165.9
1789916483567,10.2,0,0,0,0.00,0.00,0.00,50,-1045,4035,34.5,10.5,49.2,174.0
1789916488628,15.2,0,0,0,0.00,0.00,0.00,50,-1069,4033,34.5,8.1,49.2,171.6
1789916493678,20.3,0,0,0,0.00,0.00,0.00,50,-830,4022,34.5,6.6,50.1,164.6
1789916498728,25.3,0,0,0,0.00,0.00,0.00,50,-1026,4015,34.5,9.9,50.1,167.6
1789916503760,30.3,0,0,0,0.00,0.00,0.00,50,-1074,4040,34.5,7.6,50.1,165.5
1789916508831,35.4,0,0,0,0.00,0.00,0.00,50,-1072,4040,34.5,5.5,50.0,163.2
1789916513867,40.5,0,0,0,0.00,0.00,0.00,50,-1111,4032,34.5,8.7,50.1,166.9
1789916518906,45.5,0,0,0,0.00,0.00,0.00,50,-1098,4040,34.5,6.5,50.1,164.8
1789916523975,50.6,0,0,0,0.00,0.00,0.00,50,-1142,4038,34.5,9.8,50.1,167.6
1789916529051,55.6,0,0,0,0.00,0.00,0.00,50,-1092,4038,34.5,7.7,50.1,165.5
1789916534105,60.7,0,0,0,0.00,0.00,0.00,50,-1146,4041,34.5,5.6,50.1,163.5
1789916539175,65.8,0,0,0,0.00,0.00,0.00,50,-1099,4041,34.5,8.9,50.1,166.7
1789916544256,70.8,0,0,0,0.00,0.00,0.00,50,-970,4029,34.5,6.8,50.1,162.7
1789916549286,75.9,0,0,0,0.00,0.00,0.00,50,-1032,4039,34.5,10.0,50.2,166.0
1789916554323,80.9,0,0,0,0.00,0.00,0.00,50,-1082,4041,34.5,8.0,50.1,163.9
1789916559394,86.0,0,0,0,0.00,0.00,0.00,50,-1147,4040,34.5,5.9,50.1,161.9
1789916564457,91.0,0,0,0,0.00,0.00,0.00,50,-1075,4041,34.5,9.2,50.1,165.2
1789916569531,96.1,0,0,0,0.00,0.00,0.00,50,-1057,4016,34.5,6.8,46.3,158.3
1789916574586,101.2,0,0,0,0.00,0.00,0.00,50,-1083,4040,34.5,5.3,46.3,157.0
1789916579652,106.2,0,0,0,0.00,0.00,0.00,50,-1089,4040,34.5,8.5,46.3,160.2
1789916584726,111.3,0,0,0,0.00,0.00,0.00,51,-790,4041,34.5,7.0,46.3,158.4
1789916589785,116.4,0,0,0,0.00,0.00,0.00,51,-926,4031,34.5,5.5,46.2,156.1
1789916594836,121.4,0,0,0,0.00,0.00,0.00,51,-1089,4031,34.5,8.8,46.3,159.3
1789916599890,126.5,0,0,0,0.00,0.00,0.00,51,-978,4034,34.5,7.3,46.2,157.9
1789916604946,131.5,0,0,0,0.00,0.00,0.00,51,-1023,4035,34.5,5.9,46.3,156.4
1789916610005,136.6,0,0,0,0.00,0.00,0.00,51,-924,4036,34.5,6.0,47.9,158.4
1789916615046,141.6,0,0,0,0.00,0.00,0.00,51,-870,4031,34.6,5.6,48.0,155.9
1789916620088,146.7,0,0,0,0.00,0.00,0.00,51,-877,4031,34.6,9.0,48.3,160.7
1789916625137,151.7,0,0,0,0.00,0.00,0.00,51,-867,4031,34.6,7.7,48.1,158.0
1789916630179,156.8,0,0,0,0.00,0.00,0.00,51,-877,4033,34.6,6.5,48.1,156.7
1789916635233,161.8,0,0,0,0.00,0.00,0.00,51,-627,4033,34.6,5.2,48.1,155.3
1789916640298,166.9,0,0,0,0.00,0.00,0.00,51,-1080,4037,34.6,8.5,48.1,158.6
1789916645371,172.0,0,0,0,0.00,0.00,0.00,51,-1065,4041,34.6,7.0,48.1,156.9
1789916650440,177.0,0,0,0,0.00,0.00,0.00,51,-1121,4041,34.6,5.5,48.1,155.6
1789916655513,182.1,0,0,0,0.00,0.00,0.00,51,-1081,4047,34.6,8.8,48.1,158.8
1789916660581,187.2,0,0,0,0.00,0.00,0.00,51,-1101,4044,34.5,7.2,48.1,157.4
1789916665652,192.2,0,0,0,0.00,0.00,0.00,51,-1068,4044,34.5,5.8,48.1,155.9
1789916670728,197.3,0,0,0,0.00,0.00,0.00,51,-1105,4048,34.5,9.0,48.0,158.9
1789916675791,202.4,0,0,0,0.00,0.00,0.00,51,-1116,4040,34.5,7.6,48.0,157.4
1789916680872,207.5,0,0,0,0.00,0.00,0.00,51,-1119,4049,34.5,6.2,48.0,156.1
1789916685941,212.5,0,0,0,0.00,0.00,0.00,51,-1137,4047,34.5,9.4,48.0,159.3
1789916691005,217.6,0,0,0,0.00,0.00,0.00,51,-997,4047,34.5,8.1,48.1,158.1
1789916696038,222.6,0,0,0,0.00,0.00,0.00,51,-1148,4045,34.4,6.7,48.0,156.7
1789916701086,227.7,0,0,0,0.00,0.00,0.00,51,-1052,4050,34.4,5.3,48.1,155.3
1789916706143,232.7,0,0,0,0.00,0.00,0.00,51,-1135,4041,34.4,8.6,48.0,158.5
1789916711227,237.8,0,0,0,0.00,0.00,0.00,51,-1068,4047,34.4,7.3,48.1,154.7
1789916716302,242.9,0,0,0,0.00,0.00,0.00,51,-1132,4052,34.4,6.0,48.0,153.4
1789916721387,248.0,0,0,0,0.00,0.00,0.00,51,-1099,4052,34.4,9.3,48.1,156.7
1789916726454,253.0,0,0,0,0.00,0.00,0.00,52,-1111,4048,34.3,7.7,48.1,155.0
1789916731528,258.1,0,0,0,0.00,0.00,0.00,52,-1087,4049,34.3,6.2,48.1,153.6
1789916736597,263.2,0,0,0,0.00,0.00,0.00,52,-1142,4048,34.3,9.4,48.1,156.8
1789916741667,268.3,0,0,0,0.00,0.00,0.00,52,-1097,4050,34.3,7.8,48.1,155.2
