ride,kind,variant,drift,passes,n,corr
948G_RVV-2026-08-30_16-31-01,bench,offline (centred),1.4955607698999998,1,1,1.0
948G_RVV-2026-08-30_16-31-01,bench,"V1 replica, trailing",8.043825017847297,1,1,0.48432245300868076
948G_RVV-2026-08-30_16-31-01,bench,V2 gravity sensor,18.135063778342733,0,1,0.07692471215039956
948G_RVV-2026-08-30_16-31-01,bench,V3 edge engine,16.409435327757762,0,1,0.08577988169680995
948G_RVV-2026-08-30_16-31-01,bench,"split: offline feats, late speed",1.5863221959688034,1,1,1.0
948G_RVV-2026-08-30_16-31-01,bench,"split: V1 feats, centred speed",7.211059595071044,1,1,0.48432245300868076
94CC_6RQ-2026-08-30_16-34-04,bench,offline (centred),12.20703731336485,0,1,1.0
94CC_6RQ-2026-08-30_16-34-04,bench,"V1 replica, trailing",11.56174810711468,0,1,0.5251789363487643
94CC_6RQ-2026-08-30_16-34-04,bench,V2 gravity sensor,6.103348312270708,1,1,-0.12434447967797108
94CC_6RQ-2026-08-30_16-34-04,bench,V3 edge engine,5.978083932327765,1,1,-0.09021018574626738
94CC_6RQ-2026-08-30_16-34-04,bench,"split: offline feats, late speed",13.154363759404868,0,1,1.0
94CC_6RQ-2026-08-30_16-34-04,bench,"split: V1 feats, centred speed",9.545831941722238,1,1,0.5251789363487643
94CC_6RQ-2026-08-30_16-39-43,bench,offline (centred),10.400790820550704,0,1,1.0
94CC_6RQ-2026-08-30_16-39-43,bench,"V1 replica, trailing",6.364539297423342,1,1,0.39879527668379194
94CC_6RQ-2026-08-30_16-39-43,bench,V2 gravity sensor,1.772101495533086,1,1,-0.09873591783199413
94CC_6RQ-2026-08-30_16-39-43,bench,V3 edge engine,1.194201419877825,1,1,-0.03793036654255146
94CC_6RQ-2026-08-30_16-39-43,bench,"split: offline feats, late speed",9.818037248430008,1,1,1.0
94CC_6RQ-2026-08-30_16-39-43,bench,"split: V1 feats, centred speed",8.359056296684102,1,1,0.39879527668379194
94CC_6RQ-2026-08-30_16-46-01,bench,offline (centred),6.667313455191689,1,1,1.0
94CC_6RQ-2026-08-30_16-46-01,bench,"V1 replica, trailing",13.854386727830962,0,1,0.7136812363773998
94CC_6RQ-2026-08-30_16-46-01,bench,V2 gravity sensor,22.707921629243558,0,1,-0.2077006899577434
94CC_6RQ-2026-08-30_16-46-01,bench,V3 edge engine,18.943488007882745,0,1,-0.17046940389932794
94CC_6RQ-2026-08-30_16-46-01,bench,"split: offline feats, late speed",6.382291008639062,1,1,1.0
94CC_6RQ-2026-08-30_16-46-01,bench,"split: V1 feats, centred speed",14.419887919468344,0,1,0.7136812363773998
new_senior-2026-08-30_16-36-55,bench,offline (centred),7.077847400497632,1,1,1.0
new_senior-2026-08-30_16-36-55,bench,"V1 replica, trailing",5.3648648571290245,1,1,0.592969912790526
new_senior-2026-08-30_16-36-55,bench,V2 gravity sensor,9.093111393653794,1,1,-0.12683825613057625
new_senior-2026-08-30_16-36-55,bench,V3 edge engine,9.463281609148291,1,1,-0.1140230183894313
new_senior-2026-08-30_16-36-55,bench,"split: offline feats, late speed",8.467427431841646,1,1,1.0
new_senior-2026-08-30_16-36-55,bench,"split: V1 feats, centred speed",3.9482217196545695,1,1,0.592969912790526
new_senior-2026-08-30_16-43-04,bench,offline (centred),5.003275880235509,1,1,1.0
new_senior-2026-08-30_16-43-04,bench,"V1 replica, trailing",1.021136056170195,1,1,0.47905680333476663
new_senior-2026-08-30_16-43-04,bench,V2 gravity sensor,3.323916292750976,1,1,-0.07082771016505883
new_senior-2026-08-30_16-43-04,bench,V3 edge engine,3.73423239965751,1,1,0.0021686759132815425
new_senior-2026-08-30_16-43-04,bench,"split: offline feats, late speed",5.173246696674725,1,1,1.0
new_senior-2026-08-30_16-43-04,bench,"split: V1 feats, centred speed",0.9400452141027613,1,1,0.47905680333476663
948G_MVR-2026-08-31_08-33-34,bench,offline (centred),8.880736622509746,1,1,1.0
948G_MVR-2026-08-31_08-33-34,bench,"V1 replica, trailing",12.114413251069253,0,1,0.23064877960091543
948G_MVR-2026-08-31_08-33-34,bench,V2 gravity sensor,27.387059271166375,0,1,0.19286843247001637
948G_MVR-2026-08-31_08-33-34,bench,V3 edge engine,25.13647054924276,0,1,0.18086844655299483
948G_MVR-2026-08-31_08-33-34,bench,"split: offline feats, late speed",9.733314636765849,1,1,1.0
948G_MVR-2026-08-31_08-33-34,bench,"split: V1 feats, centred speed",11.61457004622733,0,1,0.23064877960091543
948G_RVV-2026-08-31_08-26-28,bench,offline (centred),1.7722488537050667,1,1,1.0
948G_RVV-2026-08-31_08-26-28,bench,"V1 replica, trailing",15.13679580512722,0,1,0.19202978921630906
948G_RVV-2026-08-31_08-26-28,bench,V2 gravity sensor,11.476116143713435,0,1,0.33102832848810143
948G_RVV-2026-08-31_08-26-28,bench,V3 edge engine,13.503446071489074,0,1,0.2147828186677345
948G_RVV-2026-08-31_08-26-28,bench,"split: offline feats, late speed",5.6577529091975585,1,1,1.0
948G_RVV-2026-08-31_08-26-28,bench,"split: V1 feats, centred speed",9.130346653851884,1,1,0.19202978921630906
