drive,target_m,i0,i1,dist_m,dur_s,speed_kmh,cal_scale,err_frozen,err_AI + gyro,err_AI + road,err_perfect + road,err_AI cal + road
S-S2,500.0,0,2466,1116.7515905935923,246.60000000000002,16.302942928373607,1.0,806.9847591827827,859.7048777044481,82.41272245100794,81.74060232548926,82.41272245100794
S-S2,500.0,1482,2466,798.1448059766713,98.4,29.200419730853827,0.8811728315790016,798.0205801378642,317.3283264595023,454.5904123527082,388.13093677809735,530.85573486115
S-S2,500.0,2466,3006,567.3905805427121,54.0,37.82603870284748,1.0891380240789548,562.8155908195987,84.97377827904201,21.27667288291443,2.868869335938279,27.73235021983637
S-S2,500.0,2466,3006,567.3905805427121,54.0,37.82603870284748,1.0891380240789548,562.8155908195987,84.97377827904201,21.27667288291443,2.868869335938279,27.73235021983637
S-S2,500.0,2466,3006,567.3905805427121,54.0,37.82603870284748,1.0891380240789548,562.8155908195987,84.97377827904201,21.27667288291443,2.868869335938279,27.73235021983637
S-S2,500.0,2736,3276,535.5157300740723,54.0,35.701048671604816,1.0158579549501416,511.61857700074347,99.97987462697111,37.20669276866082,6.479598425718576,29.20657206337374
S-S2,500.0,2916,3636,529.7925523779115,72.0,26.489627618895575,1.25,347.45812667186783,459.2225989316978,77.54507884033676,7.419424232470213,231.01051619544808
S-S2,500.0,3186,3906,509.795824570132,72.0,25.489791228506604,1.25,322.6300371776879,374.6185169993519,206.45187861782492,5.247706633016894,384.2125793815997
S-S2,500.0,3546,4216,505.12035747455025,67.0,27.140795326990762,1.0055758630651082,382.912084603841,923.0706061413258,179.4578183091953,6.217427870860375,183.24032573940576
S-S2,500.0,3906,4666,541.8700691359545,76.0,25.667529590650478,0.8525658553094037,479.9143169322108,169.95183128691602,107.63462292435709,2.9741145180844524,11.51961893993543
S-S2,500.0,4216,5026,518.7373354729057,81.0,23.054992687684695,0.8,257.97377044739085,581.1423435621679,282.2509055709113,5.358975104006152,120.99956172384607
S-S2,500.0,4666,5566,508.8657394720476,90.0,20.354629578881905,0.8,315.00340142352053,1174.700923175499,364.1034584015077,10.125415901847774,187.48485292539294
S-S2,500.0,5026,5847,500.4360320505057,82.10000000000002,21.943601892592206,0.8,467.1888251501642,203.39299744408783,175.06626616587062,1.8905747304190395,39.675615395952086
S-S2,500.0,5387,6477,603.3659021711974,109.0,19.927681172626706,0.8,116.1292191751876,718.9219345834291,208.84677575247758,4.23480912686988,47.09547810129844
S-S2,500.0,5847,6926,508.9250545602781,107.89999999999998,16.979890606274346,0.8,306.32079930318963,967.5835292415944,193.18477599070852,4.574267686299055,52.05163124124187
