wall_ms,elapsed_s,blackout,ai_active,inferences,infer_ms_last,infer_ms_mean,infer_ms_max,battery_pct,current_ua,voltage_mv,temp_c,java_heap_mb,native_heap_mb,pss_mb
1789916838799,0.1,0,0,0,0.00,0.00,0.00,52,-354,4025,34.2,23.7,27.4,144.3
1789916843829,5.1,0,1,0,0.00,0.00,0.00,52,-770,4020,34.2,6.1,40.3,149.8
1789916848871,10.2,0,1,0,0.00,0.00,0.00,52,-928,4028,34.2,9.7,40.3,153.0
1789916853913,15.2,0,1,0,0.00,0.00,0.00,52,-1011,4046,34.2,8.3,40.3,151.8
1789916858961,20.3,0,1,0,0.00,0.00,0.00,52,-1091,4054,34.2,7.4,41.3,151.4
1789916864037,25.3,0,1,0,0.00,0.00,0.00,52,-1080,4050,34.2,6.5,41.3,150.7
1789916869102,30.4,0,1,1,74.04,74.04,74.04,52,-1141,4056,34.2,5.6,42.7,150.5
1789916874177,35.5,0,1,11,9.56,21.53,74.04,52,-1074,4056,34.2,9.0,42.7,153.8
1789916879229,40.5,0,1,22,11.20,18.36,74.04,52,-1118,4048,34.2,7.8,43.0,152.8
1789916884258,45.6,0,1,32,19.85,16.68,74.04,52,-1070,4057,34.2,6.4,42.9,151.3
1789916889308,50.6,0,1,42,16.20,16.57,74.04,53,-1131,4056,34.2,5.1,42.9,150.2
1789916894361,55.7,0,1,52,9.20,16.50,74.04,53,-1081,4058,34.2,8.5,42.8,153.5
1789916899442,60.8,0,1,62,10.62,15.94,74.04,53,-1142,4062,34.2,7.2,42.8,152.1
1789916904511,65.8,0,1,72,9.97,15.34,74.04,53,-1077,4057,34.2,5.8,42.8,151.0
1789916909594,70.9,0,1,82,40.67,15.98,74.04,53,-1098,4062,34.2,9.3,42.9,154.3
1789916914655,76.0,0,1,92,17.64,16.80,74.04,53,-1054,4062,34.2,8.0,42.8,153.0
1789916919724,81.0,0,1,103,10.90,17.24,74.04,53,-1070,4057,34.2,6.7,42.9,151.8
1789916924781,86.1,0,1,113,11.77,16.77,74.04,53,-1141,4059,34.2,5.3,42.9,150.6
1789916929833,91.1,0,1,123,10.62,16.34,74.04,53,-1055,4063,34.2,8.7,42.9,153.7
1789916934903,96.2,0,1,133,11.91,16.35,74.04,53,-1099,4060,34.2,7.5,42.8,152.6
1789916939984,101.3,0,1,143,12.37,16.32,74.04,53,-1078,4060,34.2,6.1,42.9,151.4
1789916945050,106.4,0,1,153,11.95,16.49,74.04,53,-1130,4064,34.2,9.5,42.9,154.7
1789916950115,111.4,0,1,163,17.66,16.28,74.04,53,-1081,4064,34.2,8.2,42.9,153.5
1789916955195,116.5,0,1,174,10.70,15.99,74.04,53,-1149,4055,34.2,7.0,42.9,152.1
1789916960239,121.5,0,1,184,13.31,15.81,74.04,53,-1079,4064,34.2,5.6,42.9,150.9
1789916965290,126.6,0,1,194,9.07,15.65,74.04,53,-1129,4065,34.2,9.0,42.9,154.2
1789916970345,131.7,0,1,204,11.93,15.41,74.04,53,-1110,4062,34.2,7.6,42.9,152.8
1789916975413,136.7,0,1,214,10.91,15.30,74.04,53,-1103,4062,34.2,6.3,42.9,151.7
1789916980496,141.8,0,1,224,10.40,15.32,74.04,53,-1129,4066,34.2,5.0,43.0,150.4
1789916985581,146.9,0,1,234,34.93,15.29,74.04,53,-1070,4063,34.2,8.4,43.0,153.8
1789916990662,152.0,0,1,244,12.04,15.36,74.04,53,-1143,4063,34.2,7.1,43.0,152.1
1789916995742,157.1,0,1,255,18.84,15.31,74.04,53,-1068,4066,34.2,5.9,43.0,150.9
1789917000784,162.1,0,1,265,10.51,15.27,74.04,53,-1132,4065,34.2,9.2,43.0,154.2
1789917005834,167.1,0,1,275,10.15,15.17,74.04,54,-1078,4064,34.2,7.9,43.0,152.8
1789917010901,172.2,0,1,285,11.16,15.16,74.04,54,-1137,4067,34.2,6.6,43.0,151.7
1789917015965,177.3,0,1,295,11.98,15.14,74.04,55,-1077,4065,34.2,5.2,43.0,150.2
1789917021017,182.3,0,1,305,19.29,15.13,74.04,55,-1130,4069,34.2,8.6,43.0,153.5
1789917026083,187.4,0,1,315,18.45,15.01,74.04,55,-1058,4063,34.2,7.2,43.0,152.4
1789917031159,192.5,0,1,325,46.19,15.10,74.04,55,-1080,4063,34.2,6.0,43.0,151.0
1789917036239,197.5,0,1,336,10.15,15.01,74.04,55,-1104,4064,34.2,9.4,43.0,154.3
1789917041292,202.6,0,1,346,11.41,14.97,74.04,55,-1078,4070,34.2,8.0,43.0,153.1
1789917046346,207.7,0,1,356,15.55,15.02,74.04,55,-1137,4067,34.2,6.7,43.1,151.7
1789917051422,212.7,0,1,366,8.04,14.95,74.04,55,-1080,4067,34.2,5.4,43.0,150.5
1789917056500,217.8,0,1,376,12.31,14.94,74.04,55,-1131,4063,34.2,8.8,43.1,153.9
1789917061579,222.9,0,1,386,8.87,14.91,74.04,55,-1071,4064,34.2,7.4,43.1,152.4
1789917066662,228.0,0,1,396,21.95,14.93,74.04,55,-1143,4064,34.2,6.1,43.1,151.3
1789917071742,233.1,0,1,407,9.17,14.87,74.04,55,-1065,4072,34.2,9.5,43.0,154.6
1789917076791,238.1,0,1,417,28.51,14.93,74.04,55,-1141,4072,34.2,8.2,43.1,153.3
1789917081847,243.2,0,1,427,4.46,14.97,74.04,55,-1081,4069,34.2,6.8,43.1,151.9
1789917086923,248.2,0,1,437,19.16,14.95,74.04,55,-1129,4066,34.2,5.5,43.1,150.7
1789917092001,253.3,0,1,447,8.13,15.01,74.04,55,-988,4063,34.2,8.9,43.1,153.6
1789917097047,258.4,0,1,457,13.20,15.14,74.04,55,-1085,4063,34.2,7.6,43.2,151.9
1789917102097,263.4,0,1,467,10.81,15.06,74.04,55,-1132,4069,34.3,6.2,43.1,150.8
1789917107180,268.5,0,1,478,4.59,15.05,74.04,55,-1055,4072,34.3,9.6,43.2,154.1
1789917112219,273.5,0,1,488,24.52,15.04,74.04,55,-1130,4070,34.3,8.2,43.2,152.6
1789917117246,278.6,0,1,498,8.88,14.97,74.04,55,-1070,4067,34.3,6.9,43.1,151.5
1789917122296,283.6,0,1,508,38.73,15.07,74.04,55,-1121,4072,34.3,5.6,43.2,150.2
1789917127351,288.7,0,1,518,12.58,15.09,74.04,55,-1079,4072,34.3,8.9,43.2,153.5
1789917132421,293.7,0,1,528,15.09,15.09,74.04,55,-1137,4072,34.3,7.6,43.2,152.2
1789917137500,298.8,0,1,538,4.50,14.97,74.04,55,-1134,4072,34.3,6.4,43.2,151.0
1789917142563,303.9,0,1,548,5.81,14.85,74.04,55,-1176,4079,34.4,5.1,43.2,149.9
1789917147611,308.9,0,1,552,57.68,14.90,74.04,55,-1077,4046,34.4,5.3,43.2,106.3
1789917152659,314.0,0,1,552,57.68,14.90,74.04,56,-1174,4075,34.4,5.2,43.1,106.1
1789917157694,319.0,0,1,552,57.68,14.90,74.04,56,-1097,4071,34.3,5.3,43.0,106.3
1789917162739,324.0,0,1,552,57.68,14.90,74.04,56,-1244,4071,34.3,4.8,43.4,105.7
1789917167784,329.1,0,1,552,57.68,14.90,74.04,56,-1212,4082,34.3,4.8,43.4,105.8
1789917172840,334.1,0,1,552,57.68,14.90,74.04,56,-1232,4086,34.3,5.0,43.4,106.0
