frame,ride,kind,drift,passes,n
replica,948G_RVV-2026-08-30_16-31-01,bench,5.0428278220222085,1,1
replica,94CC_6RQ-2026-08-30_16-34-04,bench,15.948481197562902,0,1
replica,94CC_6RQ-2026-08-30_16-39-43,bench,9.173821396267007,1,1
replica,94CC_6RQ-2026-08-30_16-46-01,bench,7.808346770236175,1,1
replica,new_senior-2026-08-30_16-36-55,bench,4.561316000431746,1,1
replica,new_senior-2026-08-30_16-43-04,bench,4.258458963871053,1,1
replica,948G_MVR-2026-08-31_08-33-34,bench,9.912833538014453,1,1
replica,948G_RVV-2026-08-31_08-26-28,bench,4.886518380057478,1,1
replica,94CC_6RQ-2026-08-31_08-29-54,bench,1.9966276193905386,1,1
replica,Department_of_Electronics_Communication-2026-08-31_08-23-23,bench,1.1823612229125002,1,1
replica,new_senior-2026-08-31_08-19-37,bench,9.371793274353859,1,1
replica,app_DhruvaRun_2026-09-11_19-37-43,evening,3.569700820863593,11,11
replica,app_DhruvaRun_2026-09-11_19-41-28,evening,8.37537424983257,10,11
gravity,948G_RVV-2026-08-30_16-31-01,bench,13.251767510357967,0,1
gravity,94CC_6RQ-2026-08-30_16-34-04,bench,15.508571574989855,0,1
gravity,94CC_6RQ-2026-08-30_16-39-43,bench,6.720077308295452,1,1
gravity,94CC_6RQ-2026-08-30_16-46-01,bench,10.705725434467984,0,1
gravity,new_senior-2026-08-30_16-36-55,bench,6.150622268516604,1,1
gravity,new_senior-2026-08-30_16-43-04,bench,4.948718143694597,1,1
gravity,948G_MVR-2026-08-31_08-33-34,bench,10.023324783952154,0,1
gravity,948G_RVV-2026-08-31_08-26-28,bench,6.167367187384061,1,1
gravity,94CC_6RQ-2026-08-31_08-29-54,bench,8.810570878645454,1,1
gravity,Department_of_Electronics_Communication-2026-08-31_08-23-23,bench,4.035932416025887,1,1
gravity,new_senior-2026-08-31_08-19-37,bench,6.742416809630889,1,1
gravity,app_DhruvaRun_2026-09-11_19-37-43,evening,5.850006776482232,10,11
gravity,app_DhruvaRun_2026-09-11_19-41-28,evening,9.495993560689337,7,11
