ride,mount,model,case,dest_node,route_m,deviated,alarm,dev_m,alarm_m,pos_err_m,followed_m,outcome,delay_m
948G_RVV-2026-08-30_16-31-01,mounted,948G_RVV-2026-08-30_16-31-01.pt,true,3912779948,625.4425500406426,False,False,,,38.316164088704156,556.2578336988967,quiet (correct),
948G_RVV-2026-08-30_16-31-01,mounted,948G_RVV-2026-08-30_16-31-01.pt,wrong,3846582275,326.573949156583,True,True,66.36489296044778,286.5218863995543,114.13673294653405,66.36489296044778,caught,220.15699343910654
94CC_6RQ-2026-08-30_16-34-04,mounted,94CC_6RQ-2026-08-30_16-34-04.pt,true,3846582275,587.8995229032917,False,False,,,96.96681342095104,547.9734193595706,quiet (correct),
94CC_6RQ-2026-08-30_16-34-04,mounted,94CC_6RQ-2026-08-30_16-34-04.pt,wrong,9047445013,317.90970756666445,True,True,334.20689013102503,380.40937009096194,75.27559421046271,334.20689013102503,caught,46.20247995993691
94CC_6RQ-2026-08-30_16-34-04,mounted,94CC_6RQ-2026-08-30_16-34-04.pt,wrong,9602305583,365.27956544071344,True,True,350.79879775740346,422.55605410399164,67.53699646471834,350.79879775740346,caught,71.75725634658818
94CC_6RQ-2026-08-30_16-39-43,mounted,94CC_6RQ-2026-08-30_16-39-43.pt,true,3846582275,643.8596605588542,False,False,,,65.24750286174725,604.791597973864,quiet (correct),
94CC_6RQ-2026-08-30_16-39-43,mounted,94CC_6RQ-2026-08-30_16-39-43.pt,wrong,9047445013,373.869845222227,True,True,382.2657761168083,403.68513144893734,89.63098410573697,382.2657761168083,caught,21.419355332129044
94CC_6RQ-2026-08-30_16-39-43,mounted,94CC_6RQ-2026-08-30_16-39-43.pt,wrong,9602305583,421.2397030962761,True,True,396.5106546275566,442.53229510349684,79.02768731827096,396.5106546275566,caught,46.02164047594022
94CC_6RQ-2026-08-30_16-46-01,mounted,94CC_6RQ-2026-08-30_16-46-01.pt,true,3846582275,611.8600281393769,False,False,,,31.095897882271984,557.112159804474,quiet (correct),
94CC_6RQ-2026-08-30_16-46-01,mounted,94CC_6RQ-2026-08-30_16-46-01.pt,wrong,9047445013,341.8702128027496,True,True,351.3867029338807,325.5910672764267,93.67398272190545,351.3867029338807,caught,-25.795635657454
94CC_6RQ-2026-08-30_16-46-01,mounted,94CC_6RQ-2026-08-30_16-46-01.pt,wrong,9602305583,389.2400706767987,True,True,362.7909041426023,353.1899077561715,112.12314648361136,362.7909041426023,caught,-9.60099638643078
new_senior-2026-08-30_16-36-55,mounted,new_senior-2026-08-30_16-36-55.pt,true,3912779948,556.0846721193473,False,False,,,24.962268847993798,488.819623512602,quiet (correct),
new_senior-2026-08-30_16-43-04,mounted,new_senior-2026-08-30_16-43-04.pt,true,7875269237,1958.5399475383012,False,False,,,24.541747950281376,497.7027320760538,quiet (correct),
