set,ride,kind,cut_s,gps_off_m,cal_used_s,scale,raw,cal,raw_pass,cal_pass,n
A,948G_RVV-2026-08-30_16-31-01,bench,60.0,556.2578336988967,30.0,1.0674739713409793,5.0428278220222085,1.6712774887690285,1,1,1
B,948G_RVV-2026-08-30_16-31-01,bench,45.0,622.1836868871808,15.0,1.25,2.222285383741536,22.437392236452116,1,0,1
B,948G_RVV-2026-08-30_16-31-01,bench,60.0,556.2578336988967,30.0,1.0674739713409793,5.0428278220222085,1.6712774887690285,1,1,1
B,948G_RVV-2026-08-30_16-31-01,bench,75.0,495.338056186638,45.0,0.9885569622189269,7.194141013011631,8.00453510944934,1,1,1
B,948G_RVV-2026-08-30_16-31-01,bench,90.0,415.0182618417929,60.0,1.0332245943986738,5.844367168439448,2.94403914992328,1,1,1
B,948G_RVV-2026-08-30_16-31-01,bench,105.0,339.1175093359018,75.0,1.0453635522261209,5.767571647721182,2.061915343668926,1,1,1
A,94CC_6RQ-2026-08-30_16-34-04,bench,60.0,547.9734193595706,30.0,1.0611574080852926,15.948481197562902,11.263707768330553,0,0,1
B,94CC_6RQ-2026-08-30_16-34-04,bench,45.0,616.105785667407,15.0,1.2483826626757568,12.765361219323344,7.92891097349047,0,1,1
B,94CC_6RQ-2026-08-30_16-34-04,bench,60.0,547.9734193595706,30.0,1.0611574080852926,15.948481197562902,11.263707768330553,0,0,1
B,94CC_6RQ-2026-08-30_16-34-04,bench,75.0,476.5471510647762,45.0,1.0157187084748136,19.755115107370436,18.570703539858528,0,0,1
B,94CC_6RQ-2026-08-30_16-34-04,bench,90.0,376.4466707713618,60.0,1.10034159583556,18.383468132705808,11.089140599806205,0,0,1
A,94CC_6RQ-2026-08-30_16-39-43,bench,60.0,604.791597973864,30.0,0.872750570387493,9.173821396267007,19.82004341769661,1,0,1
B,94CC_6RQ-2026-08-30_16-39-43,bench,45.0,665.1812137495428,15.0,0.9066220624941865,6.999686273531292,14.885841440113122,1,0,1
B,94CC_6RQ-2026-08-30_16-39-43,bench,60.0,604.791597973864,30.0,0.872750570387493,9.173821396267007,19.82004341769661,1,0,1
B,94CC_6RQ-2026-08-30_16-39-43,bench,75.0,539.2955998729358,45.0,0.8708607494386056,11.485337558976436,22.013618028185896,0,0,1
B,94CC_6RQ-2026-08-30_16-39-43,bench,90.0,463.72034522068105,60.0,0.8907980862047188,14.098357055568538,22.664708524367867,0,0,1
B,94CC_6RQ-2026-08-30_16-39-43,bench,105.0,362.5292064556125,75.0,0.9678483148867418,12.922183915690491,15.430475565233884,0,0,1
A,94CC_6RQ-2026-08-30_16-46-01,bench,60.0,557.112159804474,30.0,0.927753886171504,7.808346770236175,0.97566808253734,1,1,1
B,94CC_6RQ-2026-08-30_16-46-01,bench,45.0,630.2938958283889,15.0,0.9583671327288171,8.045691797867628,3.620542476828519,1,1,1
B,94CC_6RQ-2026-08-30_16-46-01,bench,60.0,557.112159804474,30.0,0.927753886171504,7.808346770236175,0.97566808253734,1,1,1
B,94CC_6RQ-2026-08-30_16-46-01,bench,75.0,499.54169567858435,45.0,0.8482045633424146,3.938343892582053,11.116310849118605,1,0,1
B,94CC_6RQ-2026-08-30_16-46-01,bench,90.0,424.18929741768886,60.0,0.8694805714952929,3.1075845593224543,9.93579631552368,1,1,1
B,94CC_6RQ-2026-08-30_16-46-01,bench,105.0,335.17016525069744,75.0,0.9076701227349058,4.830421313286238,5.275966961251827,1,1,1
A,new_senior-2026-08-30_16-36-55,bench,60.0,488.819623512602,30.0,1.1940225729764595,4.561316000431746,14.027973930656914,1,0,1
B,new_senior-2026-08-30_16-36-55,bench,45.0,568.3353057200089,15.0,1.25,4.20585661635974,19.875158340077494,1,0,1
B,new_senior-2026-08-30_16-36-55,bench,60.0,488.819623512602,30.0,1.1940225729764595,4.561316000431746,14.027973930656914,1,0,1
B,new_senior-2026-08-30_16-36-55,bench,75.0,410.44322739296376,45.0,1.1383991143103251,4.715991305985909,8.578370674960619,1,1,1
B,new_senior-2026-08-30_16-36-55,bench,90.0,333.39260693346034,60.0,1.1124441160600165,5.492083923754499,5.407943498297592,1,1,1
A,new_senior-2026-08-30_16-43-04,bench,60.0,497.7027320760538,30.0,1.0009099228034657,4.258458963871053,4.186034064286333,1,1,1
B,new_senior-2026-08-30_16-43-04,bench,45.0,571.7220863165157,15.0,1.083752382211638,3.0441115444724303,5.137459834902014,1,1,1
B,new_senior-2026-08-30_16-43-04,bench,60.0,497.7027320760538,30.0,1.0009099228034657,4.258458963871053,4.186034064286333,1,1,1
B,new_senior-2026-08-30_16-43-04,bench,75.0,425.58412220320815,45.0,0.9901411375248039,5.090420106283661,5.832883615525876,1,1,1
B,new_senior-2026-08-30_16-43-04,bench,90.0,340.58010156248235,60.0,1.0154959287132657,4.869583973936396,3.5985078539305277,1,1,1
A,948G_MVR-2026-08-31_08-33-34,bench,60.0,2083.174686802254,30.0,1.25,9.912833538014453,36.537602774828656,1,0,1
B,948G_MVR-2026-08-31_08-33-34,bench,45.0,2129.2836772428127,15.0,1.0,9.61461216589035,9.61461216589035,1,1,1
B,948G_MVR-2026-08-31_08-33-34,bench,60.0,2083.174686802254,30.0,1.25,9.912833538014453,36.537602774828656,1,0,1
B,948G_MVR-2026-08-31_08-33-34,bench,75.0,2004.0874884189086,45.0,1.25,96.36979340211599,123.28253625992556,0,0,1
B,948G_MVR-2026-08-31_08-33-34,bench,90.0,1912.3707231835842,60.0,1.25,12.279696378445285,39.48308703030999,0,0,1
B,948G_MVR-2026-08-31_08-33-34,bench,105.0,1845.8020531490552,75.0,1.25,88.18562099991692,115.40719954621886,0,0,1
B,948G_MVR-2026-08-31_08-33-34,bench,120.0,1806.5764575741955,90.0,1.1493468267455722,10.90005328783633,26.929035358109957,0,0,1
B,948G_MVR-2026-08-31_08-33-34,bench,135.0,1727.1388706727948,105.0,1.1327218110949444,79.28954597238152,93.6098181646579,0,0,1
B,948G_MVR-2026-08-31_08-33-34,bench,150.0,1661.0578143687803,120.0,1.0923843795788941,45.21914994927734,55.15974290855561,0,0,1
B,948G_MVR-2026-08-31_08-33-34,bench,165.0,1585.0529756658464,120.0,0.995138275291829,37.986655270978986,37.460593051638945,0,0,1
B,948G_MVR-2026-08-31_08-33-34,bench,180.0,1530.946992596398,120.0,0.9614885118407016,31.497174765237606,27.360813734617036,0,0,1
B,948G_MVR-2026-08-31_08-33-34,bench,195.0,1471.0432854155877,120.0,0.9254861779702631,24.42332909503546,16.41335155782111,0,0,1
B,948G_MVR-2026-08-31_08-33-34,bench,210.0,1417.380457243129,120.0,0.8745124387834066,10.79833137560036,2.1464024134831368,0,1,1
B,948G_MVR-2026-08-31_08-33-34,bench,225.0,1356.01211057646,120.0,0.8573082783775839,10.02967730521236,4.440255461416254,0,1,1
B,948G_MVR-2026-08-31_08-33-34,bench,240.0,1276.9240648245773,120.0,0.9263828947846732,11.228076962974061,3.345413346914474,0,1,1
B,948G_MVR-2026-08-31_08-33-34,bench,255.0,1226.0514829911262,120.0,0.8943952144336534,10.54216785686341,0.6691227659807101,0,1,1
B,948G_MVR-2026-08-31_08-33-34,bench,270.0,1168.4781750469558,120.0,0.8850726062018911,9.2923409593205,2.3032979177051294,1,1,1
B,948G_MVR-2026-08-31_08-33-34,bench,285.0,1078.4456992100584,120.0,0.8897291219329676,10.451661251668881,1.184645488656565,0,1,1
B,948G_MVR-2026-08-31_08-33-34,bench,300.0,1001.4323070498167,120.0,0.9135536474616606,10.443692626212409,1.2573550722379732,0,1,1
B,948G_MVR-2026-08-31_08-33-34,bench,315.0,924.1482156649165,120.0,0.9202365766232127,36.463689646631735,27.944818651250195,0,0,1
B,948G_MVR-2026-08-31_08-33-34,bench,330.0,836.3896700762734,120.0,0.9494632555650462,12.331492230011632,6.874776344483598,0,1,1
B,948G_MVR-2026-08-31_08-33-34,bench,345.0,784.345862613618,120.0,0.9250994745942004,5.617762072262923,2.0100481467221947,1,1,1
B,948G_MVR-2026-08-31_08-33-34,bench,360.0,701.8708519360948,120.0,0.9177983528116465,15.300683738751214,20.606663393109994,0,0,1
B,948G_MVR-2026-08-31_08-33-34,bench,375.0,603.2087340953133,120.0,0.9809841836469175,14.644691703496605,12.537823123935308,0,0,1
B,948G_MVR-2026-08-31_08-33-34,bench,390.0,538.8745588175962,120.0,0.9860472329446274,13.002992301437155,11.470062267588746,0,0,1
B,948G_MVR-2026-08-31_08-33-34,bench,405.0,450.40532321519936,120.0,0.9972522750217475,16.195947129047433,15.88181324065536,0,0,1
B,948G_MVR-2026-08-31_08-33-34,bench,420.0,379.58312499959834,120.0,0.9876900398071196,102.20062554860898,101.97345143106453,0,0,1
A,948G_RVV-2026-08-31_08-26-28,bench,60.0,609.4527139456713,30.0,1.25,4.886518380057478,31.231223888582043,1,0,1
B,948G_RVV-2026-08-31_08-26-28,bench,45.0,710.3228853082308,15.0,1.25,1.0005753671850386,26.25056001011129,1,0,1
B,948G_RVV-2026-08-31_08-26-28,bench,60.0,609.4527139456713,30.0,1.25,4.886518380057478,31.231223888582043,1,0,1
B,948G_RVV-2026-08-31_08-26-28,bench,75.0,524.1960245298758,45.0,1.25,7.659126608732583,34.68982248865431,1,0,1
B,948G_RVV-2026-08-31_08-26-28,bench,90.0,439.61824024079635,60.0,1.25,12.463811983681465,40.644622547355084,0,0,1
B,948G_RVV-2026-08-31_08-26-28,bench,105.0,356.2365145489158,75.0,1.2338902516452976,17.648996264547964,45.33404521209111,0,0,1
A,94CC_6RQ-2026-08-31_08-29-54,bench,60.0,624.4690767955651,30.0,1.056727665887647,1.9966276193905386,3.553120112633674,1,1,1
B,94CC_6RQ-2026-08-31_08-29-54,bench,45.0,710.7642092666777,15.0,1.1206717859544808,1.7137949734559703,10.116402817846055,1,0,1
