time,seconds_elapsed,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
195819995627294,1.746302,11.0,0.19,352.0,572.5,75.121991,15.3706468
195821135463985,2.886139,10.75,0.17,173.0,572.5,75.1219528,15.3706597
195822144468177,3.895143,10.833,0.0,0.0,572.5,75.1219502,15.3706545
195823149735869,4.900411,16.904,0.099999994,0.0,572.5,75.1219407,15.37062
195824156463137,5.907138,15.253,0.0,0.0,572.5,75.1219394,15.3706192
195825155257059,6.905932,14.336,0.0,0.0,572.5,75.1219394,15.3706192
195826155646251,7.906321,13.67,0.049999997,0.0,572.5,75.1219292,15.3706292
195827160296520,8.910972,12.503,0.17999999,16.0,572.5,75.121935,15.3706265
195828164127788,9.914803,5.4,0.26999998,46.0,572.5,75.1219308,15.3706333
195829159067980,10.909743,4.7,1.0799999,73.0,572.5,75.1219371,15.3706418
195830157990133,11.908665,4.0,1.11,62.0,572.5,75.1219453,15.370655
195831151295324,12.901970,3.916,1.8199999,31.0,572.5,75.1219564,15.3706782
195832160345670,13.911021,3.6,4.02,359.0,572.5,75.1219596,15.3707106
195833149867900,14.900543,4.326,3.4499998,353.0,574.0,75.1219648,15.3707498
195834152956322,15.903631,4.183,3.46,358.0,574.0,75.1219686,15.3707843
195835170326245,16.921001,4.297,3.34,4.0,574.0,75.1219728,15.3708234
195836159112975,17.909788,4.297,2.61,4.0,574.0,75.1219806,15.3708535
195837175087089,18.925762,4.297,2.59,3.0,574.0,75.1219848,15.3708832
195838165550973,19.916226,3.4,2.6699998,4.0,574.0,75.121992,15.370909
195839163043896,20.913719,3.4,3.04,37.0,574.0,75.1220043,15.3709377
195840166488741,21.917164,3.333,3.1699998,46.0,574.0,75.1220237,15.3709598
195841168772279,22.919447,3.2,4.45,68.0,574.0,75.1220523,15.3709797
195842162432855,23.913108,3.166,4.87,75.0,574.0,75.1220958,15.3709927
195843168070162,24.918745,3.0,5.6299996,83.0,574.0,75.1221492,15.3710032
195844176143046,25.926818,3.1,5.8599997,88.0,574.0,75.1222032,15.3710059
195845171163968,26.921839,3.2,5.38,89.0,574.0,75.1222537,15.3710088
195846170235544,27.920911,3.2,4.8199997,87.0,574.0,75.1223033,15.3710148
195847176741044,28.927416,3.2,3.75,84.0,574.0,75.1223296,15.3710244
195848188482428,29.939157,3.2,4.2999997,89.0,574.0,75.1223687,15.3710246
195849172657581,30.923333,3.166,5.0899997,92.0,574.0,75.1224166,15.3710239
195850176374695,31.927050,2.9,5.65,87.0,574.0,75.1224721,15.3710296
195851165920464,32.916595,7.657,6.79,77.0,573.2999877929688,75.1225365,15.3710395
195852189368079,33.940043,8.35,6.8399997,75.0,573.2999877929688,75.1226014,15.3710613
195853172988232,34.923663,7.515,6.56,75.0,573.2999877929688,75.1226617,15.3710804
195854202194577,35.952870,8.267,6.31,79.0,573.2999877929688,75.1227205,15.3710933
195855188124269,36.938799,8.35,3.85,92.0,573.2999877929688,75.1227646,15.3710935
195856176667730,37.927343,2.8,2.46,97.0,573.2999877929688,75.1227916,15.3710883
195857178433498,38.929108,2.833,3.01,97.0,573.2999877929688,75.122819,15.3710845
195858203243843,39.953919,3.0,4.4,100.0,573.2999877929688,75.1228569,15.3710823
195859179756727,40.930432,3.0,4.33,96.0,573.2999877929688,75.1228999,15.3710848
195860180269150,41.930944,2.916,3.4499998,94.0,573.2999877929688,75.1229311,15.3710882
195861162802187,42.913477,2.833,3.09,92.0,573.2999877929688,75.1229617,15.3710885
195862176498918,43.927174,2.75,3.98,82.0,573.2999877929688,75.1229958,15.3710935
195863166869109,44.917544,2.75,4.8399997,79.0,573.2999877929688,75.1230414,15.3711002
195864174419070,45.925094,2.666,5.3399997,77.0,573.2999877929688,75.1230864,15.3711123
195865166747954,46.917423,2.583,5.56,77.0,573.2999877929688,75.123146,15.371123
195866170820376,47.921495,2.6,5.42,73.0,573.2999877929688,75.1231979,15.3711328
195867183772875,48.934448,2.6,4.52,67.0,573.2999877929688,75.12324,15.3711486
195868170464221,49.921139,2.5,2.86,65.0,573.2999877929688,75.1232798,15.3711522
195869172423220,50.923098,2.5,2.8899999,68.0,573.2999877929688,75.1233077,15.3711614
195870181271258,51.931946,2.5,3.29,75.0,573.2999877929688,75.1233379,15.371172
195871084000000,52.834675,8.518,0.0,0.0,578.2000122070312,75.1233379,15.371172
195872183893987,53.934569,8.684,5.2799997,74.0,578.2000122070312,75.1234188,15.3712025
195873173169256,54.923844,8.768,5.4,75.0,578.2000122070312,75.1234709,15.3712285
195874200064101,55.950739,8.768,5.43,76.0,578.2000122070312,75.1235253,15.3712465
195875175419062,56.926094,7.872,5.46,74.0,578.2000122070312,75.1235812,15.3712632
195876176506792,57.927182,2.75,5.2799997,75.0,578.2000122070312,75.1236401,15.371272
195877172968715,58.923644,2.666,2.77,78.0,578.2000122070312,75.1236753,15.3712827
195878167396560,59.918072,2.583,2.18,81.0,578.2000122070312,75.1236949,15.3712824
195879180403021,60.931078,2.5,2.01,96.0,578.2000122070312,75.1237138,15.3712748
195880173532674,61.924208,2.583,2.61,104.0,578.2000122070312,75.1237393,15.3712645
195881168582865,62.919258,7.242,4.6,101.0,580.0,75.1237755,15.3712584
195882174832057,63.925507,8.116,5.16,103.0,580.0,75.1238428,15.3712374
195883191380249,64.942055,8.116,5.46,102.0,580.0,75.1239067,15.3712231
195884178452133,65.929127,7.314,5.73,101.0,580.0,75.1239677,15.371208
195885173676516,66.924352,8.033,5.7799997,99.0,580.0,75.1240256,15.3711958
195886175397823,67.926073,2.6,3.84,94.0,580.0,75.1240713,15.3711896
195887181526900,68.932202,2.6,1.75,96.0,580.0,75.1240951,15.3711889
195888191275322,69.941950,2.666,1.9799999,96.0,580.0,75.1241123,15.3711816
195889190172514,70.940848,2.8,1.99,113.0,580.0,75.1241342,15.3711763
195890194723936,71.945399,8.735,2.31,124.0,580.2000122070312,75.1241575,15.3711669
195891202507474,72.953182,8.818,2.6299999,110.0,580.2000122070312,75.1241887,15.3711533
195892191601973,73.942277,8.818,2.9399998,107.0,580.2000122070312,75.124221,15.3711412
195893189269665,74.939945,7.987,3.12,118.0,580.2000122070312,75.1242523,15.3711223
195894189272356,75.939947,7.987,2.52,133.0,580.2000122070312,75.1242776,15.3710951
195895173652702,76.924328,3.0,1.77,136.0,580.2000122070312,75.1242958,15.3710775
195896191858239,77.942533,3.0,1.81,136.0,580.2000122070312,75.1243128,15.371057
195897186939508,78.937614,3.0,2.04,137.0,580.2000122070312,75.1243331,15.3710375
195898185509699,79.936185,3.0,2.9299998,136.0,580.2000122070312,75.1243517,15.3710104
195899184425853,80.935101,3.0,5.31,135.0,580.2000122070312,75.124388,15.3709755
195900180587160,81.931262,2.9,5.92,132.0,580.2000122070312,75.1244383,15.3709311
195901203885467,82.954560,2.8,6.15,134.0,580.2000122070312,75.1244877,15.3708891
195902190192735,83.940868,2.7,6.41,140.0,580.2000122070312,75.1245385,15.3708406
195903186081504,84.936756,2.6,6.64,147.0,580.2000122070312,75.1245877,15.3707883
195904187927080,85.938602,2.5,6.35,148.0,580.2000122070312,75.1246223,15.3707378
195905178631618,86.929307,2.416,4.43,159.0,580.2000122070312,75.1246429,15.3706907
195906180680848,87.931356,2.416,2.95,163.0,580.2000122070312,75.124653,15.3706571
195907171063385,88.921738,2.416,1.5799999,161.0,580.2000122070312,75.124658,15.3706341
195908192981346,89.943656,2.3,1.81,164.0,580.2000122070312,75.1246641,15.3706183
195909180252269,90.930927,2.333,2.36,171.0,580.2000122070312,75.124669,15.3705955
195910186322345,91.936997,2.4,3.97,171.0,580.2000122070312,75.1246754,15.3705633
195911186736767,92.937412,2.701,4.66,170.0,580.7999877929688,75.124682,15.3705205
195912174619843,93.925295,2.701,5.04,171.0,580.7999877929688,75.1246921,15.3704652
195913190568458,94.941243,2.601,5.3399997,168.0,580.7999877929688,75.1246984,15.370412
195914194149611,95.944825,2.617,5.39,169.0,580.7999877929688,75.124714,15.3703615
195915180304187,96.930979,2.529,5.6099997,167.0,580.7999877929688,75.1247338,15.3703089
195916191456379,97.942131,2.1,5.5299997,166.0,580.7999877929688,75.1247533,15.3702566
195917195133417,98.945808,2.0,4.2799997,168.0,580.7999877929688,75.1247669,15.3702084
195918189584993,99.940260,2.0,2.82,171.0,580.7999877929688,75.1247851,15.3701763
195919191959761,100.942635,2.0,2.3799999,171.0,580.7999877929688,75.1247878,15.3701522
195920192965568,101.943641,2.0,2.59,170.0,580.7999877929688,75.1247935,15.3701289
195921189362837,102.940038,6.957,5.2799997,164.0,580.7000122070312,75.1248032,15.3700906
195922222212336,103.972887,7.783,6.08,164.0,580.7000122070312,75.1248252,15.3700363
195923195477028,104.946152,7.866,6.94,165.0,580.7000122070312,75.1248392,15.3699742
195924210696796,105.961372,7.866,6.94,166.0,580.7000122070312,75.124857,15.369908
195925195710026,106.946385,7.866,6.93,165.0,580.7000122070312,75.1248783,15.3698453
195926180387256,107.931062,2.166,6.7999997,166.0,580.7000122070312,75.1248923,15.3697868
195927179397410,108.930072,2.083,6.29,166.0,580.7000122070312,75.1249061,15.3697319
195928179848909,109.930524,2.083,5.4,165.0,580.7000122070312,75.1249198,15.3696806
195929184874216,110.935549,2.0,4.39,164.0,580.7000122070312,75.124935,15.3696384
195930184452369,111.935127,2.0,3.1799998,165.0,580.7000122070312,75.1249391,15.3696096
195931171062061,112.921737,2.0,1.8499999,169.0,580.7000122070312,75.1249419,15.369592
195932203497675,113.954173,2.1,3.25,164.0,580.7000122070312,75.1249482,15.3695698
195933187816174,114.938491,7.893,4.5699997,167.0,576.5,75.1249552,15.3695377
195934203465520,115.954141,7.893,5.5,170.0,576.5,75.12496,15.3694953
195935180277288,116.930952,7.051,6.2999997,171.0,576.5,75.1249656,15.3694343
195936183753672,117.934429,7.893,6.6499996,172.0,576.5,75.1249739,15.3693743
195937186375787,118.937051,7.051,6.98,167.0,576.5,75.1249854,15.36931
195938170631902,119.921307,2.083,6.72,159.0,576.5,75.1250073,15.3692521
195940182792016,121.933467,2.1,6.3399997,141.0,576.5,75.1250652,15.3691571
195941172805938,122.923481,2.25,6.3599997,141.0,576.5,75.1251018,15.3691126
195942190479322,123.941154,2.5,6.04,142.0,576.5,75.1251363,15.3690627
195943192209629,124.942885,2.7,5.39,144.0,576.5,75.1251668,15.3690186
195944181356090,125.932031,2.9,5.0699997,148.0,576.5,75.1251938,15.3689732
195945182353281,126.933028,2.916,5.29,145.0,576.5,75.1252202,15.3689286
195946187406088,127.938081,3.0,5.54,137.0,576.5,75.1252543,15.3688866
195947189324972,128.940000,3.0,5.49,138.0,576.5,75.1252893,15.3688391
195948193590587,129.944266,2.9,5.83,137.0,576.5,75.1253259,15.3687953
195949199064740,130.949740,2.8,6.2,132.0,576.5,75.1253626,15.368749
195950197397662,131.948073,2.7,6.31,132.0,576.5,75.1254106,15.3687073
195951192687700,132.943363,2.5,6.52,131.0,576.5,75.1254595,15.368668
195952202198507,133.952873,2.4,6.46,128.0,576.5,75.1255072,15.3686306
195953198695506,134.949370,2.4,5.89,129.0,576.5,75.1255528,15.3685874
195954194496544,135.945172,2.416,4.2999997,128.0,576.5,75.1255822,15.3685569
195955192042082,136.942717,2.416,2.48,125.0,576.5,75.125604,15.3685301
195956198071466,137.948746,2.5,1.79,123.0,576.5,75.1256209,15.3685121
195957216381157,138.967056,2.5,3.06,118.0,576.5,75.1256455,15.3684989
195958211483426,139.962158,2.5,3.32,120.0,576.5,75.125676,15.3684785
195959193896540,140.944572,2.5,3.6499999,124.0,576.5,75.1257073,15.3684604
195960198297694,141.948973,5.407,5.2599998,126.0,574.5,75.1257496,15.3684345
195961202125424,142.952800,5.407,6.45,121.0,574.5,75.1258066,15.368399
195962202457384,143.953132,4.992,6.77,122.0,574.5,75.1258631,15.3683624
195963196927499,144.947602,4.992,6.8999996,121.0,574.5,75.125918,15.3683234
195964209458998,145.960134,5.324,6.8399997,121.0,574.5,75.1259703,15.3682881
195965195574228,146.946249,2.416,6.7799997,122.0,574.5,75.1260273,15.3682559
195966194784805,147.945460,2.416,7.16,125.0,574.5,75.1260783,15.3682218
195967198407304,148.949082,2.416,7.3599997,125.0,574.5,75.1261324,15.3681826
195968198714534,149.949390,2.4,7.52,127.0,574.5,75.1261907,15.3681373
195969195390533,150.946066,2.416,7.3199997,127.0,574.5,75.1262566,15.3681001
195970194253879,151.944929,2.5,6.5299997,119.0,574.5,75.1263098,15.3680643
195971198270686,152.948946,2.5,6.39,120.0,574.5,75.1263664,15.3680372
195972206694377,153.957369,2.5,6.24,127.0,574.5,75.1264168,15.3680002
195973186137954,154.936813,2.5,6.3999996,131.0,574.5,75.1264624,15.3679589
195974199628876,155.950304,2.5,6.42,126.0,574.5,75.1265126,15.3679166
195975190753375,156.941428,2.583,6.48,127.0,574.5,75.1265661,15.367881
195976201405605,157.952081,2.7,6.35,126.0,574.5,75.1266196,15.3678482
195977198529412,158.949204,2.75,6.5099998,126.0,574.5,75.126666,15.3678101
195978200622642,159.951298,2.9,6.5299997,125.0,574.5,75.1267216,15.3677714
195979190104680,160.940780,2.833,6.15,129.0,574.5,75.1267664,15.3677335
195980202720564,161.953396,2.8,6.12,135.0,574.5,75.1268143,15.3676956
195981198147986,162.948823,2.75,6.31,147.0,574.5,75.1268514,15.3676497
195982191006639,163.941682,2.666,6.3599997,151.0,574.5,75.1268801,15.3675978
195983194140369,164.944815,2.583,5.87,157.0,574.5,75.126905,15.3675441
195984206709253,165.957384,2.5,5.13,166.0,574.5,75.1269223,15.3674949
195985186801022,166.937476,2.5,5.2,174.0,574.5,75.1269198,15.3674489
195986190607906,167.941283,2.5,4.81,175.0,574.5,75.1269162,15.3674034
195987190959251,168.941634,2.5,4.6,178.0,574.5,75.1269136,15.3673617
195988192483174,169.943158,2.5,4.5499997,179.0,574.5,75.1269071,15.3673213
