time,seconds_elapsed,z,y,x
150196038143313,0.000000,-0.645355,0.820078,-1.855106
150196048144241,0.010001,0.102252,0.093986,-0.032468
150196058145257,0.020002,-0.219105,-0.199781,0.07392
150196068146185,0.030003,-0.245122,-0.202717,0.089402
150196078147344,0.040004,-0.022685,-0.024033,-0.002099
150196088148270,0.050005,0.264969,0.333835,-0.180994
150196098149276,0.060006,0.685859,0.461834,-0.822114
150196108150214,0.070007,0.293537,-0.070047,-0.638254
150196118151338,0.080008,-0.539433,-1.151501,-0.029674
150196128152338,0.090009,-0.93526,-1.370936,0.16682
150196138153495,0.100010,-1.155027,-0.958406,0.132766
150196148154418,0.110011,-0.067619,-0.372507,-0.25232
150196158155432,0.120012,0.348234,-0.258796,-0.033054
150196168156357,0.130013,0.51118,-0.283203,-0.085845
150196178157511,0.140014,0.163342,-0.294951,-0.488984
150196188158427,0.150015,0.461254,-0.02239,-0.790957
150196198159350,0.160016,0.857705,0.394465,-0.649626
150196208160367,0.170017,1.247998,0.462362,-0.30371
150196218161523,0.180018,1.135672,0.158935,0.131073
150196228162461,0.190019,0.566241,-0.262004,0.455347
150196238163461,0.200020,0.463453,-0.050832,-0.128182
150196248164401,0.210021,0.76972,0.769271,-1.517611
150196258165329,0.220022,1.535835,0.440201,-3.842301
150196268166557,0.230023,1.247161,0.312126,-3.33076
150196278167477,0.240024,1.939688,0.149887,-1.573339
150196288168401,0.250025,1.019509,-0.167593,-0.514959
150196298169567,0.260026,0.567976,0.173676,-0.23227
150196308170481,0.270027,1.116803,1.137646,-0.274628
150196318171471,0.280028,1.70122,1.550979,-0.031606
150196328172396,0.290029,1.303545,0.417954,1.285729
150196338173550,0.300030,0.408175,-0.669569,2.067287
150196348174471,0.310031,-0.147597,-1.055056,1.859183
150196358175473,0.320032,0.193985,-0.672424,1.024478
150196368176625,0.330033,1.044057,0.100067,0.145127
150196378177534,0.340034,1.697213,0.205948,-0.219921
150196388178457,0.350035,0.838892,-0.360843,0.024743
150196398179452,0.360036,-0.908005,-0.99202,0.192593
150196408180363,0.370037,-1.368671,-1.218234,0.153611
150196418181300,0.380038,-0.456509,-0.525315,-0.071715
150196428182438,0.390039,0.834183,-0.10619,0.017869
150196438183454,0.400040,1.152998,0.095187,-0.037536
150196448184373,0.410041,0.795086,0.145954,-0.200517
150196458185296,0.420042,-0.37029,-0.913367,0.175449
150196468186450,0.430043,-1.181874,-1.511497,0.089133
150196478187384,0.440044,-1.564357,-1.243793,-0.054506
150196488188396,0.450045,-0.82011,-0.876699,-0.228518
150196498189319,0.460046,0.115631,-0.748126,0.017265
150196508190471,0.470047,0.428541,-0.8062,0.239221
150196518191389,0.480048,-0.218305,-0.721182,0.488712
150196528192314,0.490049,-0.847113,-0.568132,0.508552
150196538193300,0.500050,-0.822757,-0.745329,0.404999
150196548194214,0.510051,-0.546619,-0.843784,0.1012
150196558195368,0.520052,-0.578641,-0.919149,-0.092572
150196568196289,0.530053,-0.657548,-0.866781,-0.27863
150196578197281,0.540054,-0.579553,-0.995935,-0.420145
150196588198419,0.550055,-0.040068,-0.577569,-0.172873
150196598199342,0.560056,-0.518458,-0.929402,-0.248713
150196608200255,0.570057,-0.618769,-0.666993,0.059833
150196618201184,0.580058,-1.078169,-0.511027,0.095133
150196628202186,0.590059,-1.165189,-0.70361,-0.710882
150196638203333,0.600060,-0.597488,-0.638757,-1.194551
150196648204255,0.610061,0.229539,-0.580007,-1.034403
150196658205178,0.620062,0.731029,-0.84446,-0.766815
150196668206178,0.630063,0.718124,-0.784455,-0.753496
150196678207089,0.640064,0.446064,-0.413303,-1.143026
150196688208241,0.650065,-0.086444,-0.311901,-0.987495
