time,seconds_elapsed,z,y,x
150196043143705,0.005000,6.961737,6.49378,-2.324877
150196053144871,0.015002,7.097991,6.365457,-2.267039
150196063145794,0.025002,7.166598,6.212914,-2.465682
150196073146799,0.035003,7.279827,6.027662,-2.590639
150196083147729,0.045004,7.371936,5.84806,-2.737657
150196093148886,0.055006,7.412422,5.71823,-2.8979
150196103149813,0.065007,7.470923,5.569603,-3.033951
150196113150828,0.075008,7.607596,5.379215,-3.037849
150196123151952,0.085009,7.735653,5.183283,-3.055029
150196133152875,0.095010,7.856701,4.982223,-3.080529
150196143153882,0.105011,7.883432,4.901034,-3.141868
150196153154819,0.115012,8.016276,4.730844,-3.065688
150196163155973,0.125013,8.15384,4.569453,-2.945337
150196173156971,0.135014,8.290253,4.379079,-2.852261
150196183157891,0.145015,8.366505,4.242678,-2.835712
150196193158814,0.155016,8.42596,4.130547,-2.825206
150196203159966,0.165017,8.476714,4.056146,-2.780844
150196213160904,0.175018,8.529773,3.973827,-2.737096
150196223161910,0.185019,8.5765,3.902868,-2.692816
150196233162848,0.195020,8.620667,3.836063,-2.647401
150196243164002,0.205021,8.66023,3.767495,-2.616557
150196253165014,0.215022,8.685482,3.702935,-2.625015
150196263165942,0.225023,8.655071,3.651695,-2.791928
150196273167093,0.235024,8.672693,3.617935,-2.781161
150196283168014,0.245025,8.697854,3.610264,-2.711711
150196293168952,0.255026,8.725551,3.637802,-2.582863
150196303169944,0.265027,8.754621,3.675326,-2.426641
150196313170857,0.275028,8.787942,3.711614,-2.244115
150196323172011,0.285029,8.823454,3.747577,-2.035273
150196333173009,0.295030,8.856024,3.777206,-1.828552
150196343173934,0.305031,8.917433,3.781576,-1.489648
150196353175086,0.315032,8.928001,3.805214,-1.36056
150196363176009,0.325033,8.925683,3.838155,-1.280926
150196373177011,0.335034,8.911622,3.886933,-1.230718
150196383177920,0.345035,8.898002,3.933597,-1.179982
150196393178838,0.355036,8.881948,3.989652,-1.1107
150196403179978,0.365037,8.866824,4.042753,-1.037078
150196413180913,0.375038,8.854636,4.081585,-0.987966
150196423181822,0.385039,8.838434,4.134541,-0.909771
150196433183067,0.395040,8.830735,4.172099,-0.807275
150196443183986,0.405041,8.807861,4.237399,-0.711332
150196453184909,0.415042,8.79634,4.280015,-0.58809
150196463185909,0.425043,8.783066,4.320663,-0.479179
150196473186835,0.435044,8.770075,4.354644,-0.403579
150196483187999,0.445045,8.7474,4.402884,-0.370959
150196493188933,0.455046,8.734859,4.429219,-0.35249
150196503189856,0.465047,8.721612,4.457259,-0.326148
150196513190858,0.475048,8.708241,4.486531,-0.278649
150196523192005,0.485049,8.68691,4.5309,-0.220253
150196533192914,0.495050,8.666674,4.571933,-0.161886
150196543193828,0.505051,8.650741,4.603788,-0.099284
150196553194828,0.515052,8.64013,4.6246,-0.035021
150196563195753,0.525052,8.624858,4.653123,0.017263
150196573196895,0.535054,8.60629,4.686935,0.066341
150196583197804,0.545054,8.586583,4.722018,0.114471
150196593198729,0.555055,8.565703,4.757755,0.180213
150196603199729,0.565056,8.538544,4.804436,0.225022
150196613200642,0.575057,8.504956,4.860363,0.28733
150196623201799,0.585058,8.473877,4.911665,0.330055
150196633202799,0.595059,8.457536,4.938256,0.351759
150196643203718,0.605060,8.44698,4.953563,0.388291
150196653204641,0.615061,8.445973,4.951157,0.437639
150196663205564,0.625062,8.44336,4.950783,0.489309
150196673206704,0.635063,8.434233,4.961824,0.532949
150196683207625,0.645064,8.417403,4.985419,0.577006
150196693208627,0.655065,8.394221,5.019201,0.620149
150196703209564,0.665066,8.37066,5.052798,0.664292
150196713210740,0.675067,8.356242,5.071326,0.703528
150196723211740,0.685068,8.351562,5.073346,0.743345
150196733212665,0.695069,8.355787,5.056483,0.807974
150196743213588,0.705070,8.358201,5.033883,0.916756
150196753214507,0.715071,8.343227,5.034442,1.041638
150196763215646,0.725072,8.326603,5.03763,1.153243
150196773216563,0.735073,8.316531,5.03569,1.231726
150196783217553,0.745074,8.318827,5.017503,1.289089
150196793218473,0.755075,8.330267,4.983448,1.34607
150196803219382,0.765076,8.332104,4.956614,1.431099
150196813220542,0.775077,8.326962,4.940553,1.514143
150196823221472,0.785078,8.324149,4.928159,1.569022
150196833222472,0.795079,8.325041,4.918953,1.59298
150196843223397,0.805080,8.326831,4.911845,1.605515
150196853224311,0.815081,8.320359,4.921344,1.609949
150196863225469,0.825082,8.326871,4.905209,1.625461
150196873226455,0.835083,8.32928,4.892725,1.650537
150196883227378,0.845084,8.326341,4.890565,1.671641
150196893228277,0.855085,8.324468,4.880629,1.709598
150196938232847,0.900090,8.276542,4.856816,1.987516
150196948233852,0.910091,8.272573,4.854758,2.008944
150196958234787,0.920091,8.272743,4.86426,1.985135
150196968235710,0.930092,8.277913,4.863504,1.965322
150196978236871,0.940094,8.294955,4.836044,1.961233
150196988237786,0.950094,8.323895,4.791283,1.948435
150196998238769,0.960095,8.34824,4.756957,1.928283
150197008239694,0.970096,8.362611,4.739449,1.909024
150197018240846,0.980098,8.366654,4.733618,1.905778
150197028241550,0.990098,8.361569,4.736613,1.920585
150197038242712,1.000099,8.348243,4.750885,1.94317
150197048243728,1.010100,8.334257,4.765436,1.96743
150197058244665,1.020101,8.314044,4.795059,1.980918
150197068245593,1.030102,8.291705,4.8292,1.9916
150197078246740,1.040103,8.271592,4.861173,1.997434
150197088247665,1.050104,8.256064,4.888901,1.993994
150197098248644,1.060105,8.24396,4.911565,1.988385
150197108249569,1.070106,8.24296,4.91255,1.990091
150197118250506,1.080107,8.245721,4.912482,1.978789
150197128251658,1.090108,8.255849,4.904825,1.955414
