time,seconds_elapsed,z,y,x
150196038143313,0.000000,-0.3378375,0.087725,-0.523875
150196048144241,0.010001,-0.39655,0.1414875,-0.5935875
150196058145257,0.020002,-0.47465,0.2429625,-0.6974
150196068146185,0.030003,-0.44907498,0.2600125,-0.80245
150196078147344,0.040004,-0.471075,0.1194875,-0.9295
150196088148270,0.050005,-0.565125,-0.0856625,-0.9845
150196098149276,0.060006,-0.6444625,-0.27513748,-0.9942625
150196108150199,0.070007,-0.687225,-0.4522375,-1.0212125
150196118151368,0.080008,-0.758175,-0.495,-1.0737375
150196128152338,0.090009,-0.8069875,-0.42295,-1.14455
150196138153490,0.100010,-0.8155125,-0.337425,-1.26555
150196148154418,0.110011,-0.76175,-0.37895,-1.4256
150196158155432,0.120012,-0.56993747,-0.9139625,-1.500125
150196168156357,0.130013,-0.5308875,-1.187725,-1.534225
150196178157511,0.140014,-0.560175,-1.2255375,-1.4854125
150196188158427,0.150015,-0.5614125,-1.011725,-1.3925999
150196198159350,0.160016,-0.5064125,-0.6708625,-1.21055
150196208160367,0.170017,-0.44055,-0.3972375,-0.9796875
150196218161523,0.180018,-0.394075,-0.4107125,-0.7781125
150196228162461,0.190019,-0.416075,-0.5633375,-0.6534
150196238163461,0.200020,-0.504075,-0.6391,-0.6301625
150196248164387,0.210021,-0.538175,-0.50105,-0.6301625
150196258165324,0.220022,-0.3146,-0.2189,-0.5655375
150196268166557,0.230023,0.1753125,-0.150425,-0.517825
150196278167477,0.240024,0.5710375,-0.3069,-0.3309625
150196288168401,0.250025,0.7800375,-0.768625,-0.0059125
150196298169567,0.260026,0.7690375,-1.1595374,0.062425
150196308170481,0.270027,0.721325,-1.5395875,0.0295625
150196318171471,0.280028,0.7275125,-1.75945,0.0686125
150196328172396,0.290029,0.72627497,-1.838925,0.1491875
150196338173550,0.300030,0.643225,-1.673925,0.2017125
150196348174471,0.310031,0.5330875,-1.2634875,0.22275
150196358175473,0.320032,0.457325,-0.7319125,0.26427498
150196368176625,0.330033,0.4488,-0.2957625,0.35585
150196378177548,0.340034,0.48785,-0.189475,0.502425
150196388178457,0.350035,0.4720375,-0.3667125,0.6369
150196398179452,0.360036,0.38279998,-0.51205,0.662475
150196408180363,0.370037,0.3095125,-0.539,0.584375
150196418181300,0.380038,0.280225,-0.5682875,0.4706625
150196428182438,0.390039,0.31075,-0.7649125,0.43408749
150196438183454,0.400040,0.2899875,-0.9164375,0.5049
150196448184373,0.410041,0.45374998,-1.0362,0.540375
150196458185296,0.420042,0.5880875,-0.9494375,0.5476625
150196468186450,0.430043,0.6491375,-0.6793875,0.52085
150196478187384,0.440044,0.622325,-0.3667125,0.469425
150196488188396,0.450045,0.5416125,-0.1126125,0.4145625
150196498189319,0.460046,0.4085125,-0.0160875,0.430375
150196508190471,0.470047,0.3388,-0.12485,0.4450875
150196518191394,0.480048,0.28875,-0.2921875,0.4401375
150196528192314,0.490049,0.2167,-0.34595,0.4181375
150196538193300,0.500050,0.13365,-0.420475,0.3851375
150196548194214,0.510051,0.07865,-0.5743375,0.3705625
150196558195368,0.520052,0.073699996,-0.7038625,0.3900875
150196568196289,0.530053,0.07865,-0.7123875,0.4291375
150196578197281,0.540054,0.1018875,-0.66728747,0.46461248
150196588198419,0.550055,0.147125,-0.70015,0.52085
150196598199342,0.560056,0.1544125,-0.691625,0.5636125
150196608200255,0.570057,0.159225,-0.5633375,0.53185
